pr_ab	bio3	bio4	bio7	bio11	bio12
0	11.6666576442691	16213.3330562186	491.666676497441	-389.666669587025	75.0000424258629
0	11.3333349500866	16199.9995561268	489.33334332059	-399.999881665132	101.999688777942
0	11.3333248585001	15981.3346409607	483.333364416347	-396.000096717475	108.000108452011
0	11.5000000000124	15726.5010081522	478.666682416797	-388.666672233879	103.666614813459
0	11.0000128035066	15559.5003010644	472.000021565157	-396.833277451514	138.49979513044
0	11.1666678270782	15305.0002960054	464.50003893203	-395.166595621381	151.166427167624
0	11.1666715951118	15025.1678024891	457.166707358853	-391.500020039657	164.16665566239
0	12.4999956191633	14629.1261481621	449.500033530994	-369.000061283027	121.750122321587
0	12.5555634306123	14376.7782999414	441.777805062362	-367.555500638806	139.333107346819
0	12.6666602866728	14103.4455000931	434.000022860322	-363.444464740242	154.666642849167
0	11.6666685833016	13933.3341294827	425.833346619314	-378.166627825587	217.83315117574
0	12.000002777138	13697.0005333512	421.166685480769	-369.999988486877	214.166572425234
0	13.333327127162	13416.3342562436	418.666664776156	-347.000054225987	165.833449608053
0	13.4999924508964	13306.8346307653	419.166658869895	-340.166818326922	162.000322929951
0	14.3333324988665	13262.8339158298	421.66667012177	-336.000015150689	157.166696146751
0	14.400000485026	13269.4000637874	425.799979691724	-335.200012156524	165.999980300874
0	14.0000024251003	13244.6670739274	427.000016376044	-337.666681999289	187.333361390437
0	14.9999628412379	13043.0017019532	424.000037158942	-324.000208401973	156.000474145561
0	15	12363.0011523156	405.000038410519	-305.999923178962	135.999884768444
0	14.6666666666667	12303.3338087841	403.000038723435	-309.666653550244	152.999921979449
0	14.3333219379692	12168.3346034877	399.66669198683	-307.000084800268	151.333525594301
0	14.3333333854861	12067.9993632146	396.666679887395	-309.666560483617	166.332988603491
0	15	11935.0012392282	395	-299.000159900408	142.000559651428
0	15.7499892826228	11816.7504456921	393.000012536225	-292.750013142532	129.249986857468
0	15.7499993937175	11765.4998944908	391.499992118486	-294.749935206824	139.249767581425
0	15.6666732118359	11767.9996024005	391.166654762782	-295.499943414281	138.666519491704
0	15.6666736420845	11759.3318007383	390.499974823324	-299.833184385471	152.832964248981
0	16.0000045025088	11723.1114343463	390.333326501347	-295.555585691186	138.000023503451
0	16.2222225264383	11695.8894721581	388.888915860565	-296.77782840079	144.222313037636
0	16.4444487470214	11682.221932098	388.222240310527	-298.888855128837	150.222171173653
0	16.3333336028025	11716.5555260631	388.222228593582	-305.777761436538	169.777718514606
0	16.6666669361136	11694.5555430224	387.444436569396	-304.777763192368	169.111066276874
0	16.6666661625178	11710.000583754	387.222240154094	-307.777776378291	177.777763304966
0	16.5555550861748	11739.9999186347	387.222235799354	-309.222236034147	179.555602571409
0	16.1111217502602	11842.9991487203	388.444421271286	-319.222130720256	205.110855562549
0	16.5555560770772	11834.8890004968	388.666674611266	-312.555592114575	179.000158796001
0	16.777772805869	11953.443348368	390.777765269824	-317.666618399264	186.999935790896
0	16.9999945413633	12104.5553783411	397.666648161128	-322.555570054021	181.666780663707
0	17	12213.4438277391	401.222195207149	-320.44442440913	168.999965022819
0	17	12267.3332174764	401.555564334617	-309.333439046872	140.222424096628
0	17	12293.4991472521	401.666662833503	-303.333306318462	130.666693603771
0	16.9999999999815	12406.332998995	405.166651072995	-300.000026415361	121.833355759004
0	17	12520.6657441884	407.666650160313	-300.333333333333	120.333333333333
0	12.9999990351891	14958.6679446692	469.333426504163	-379.999883151892	94.9997868258911
0	12.6666621945785	15150.6663762039	472.666664698002	-382.666666549271	92.3333507390678
0	12.1428618701304	15324.713330295	474.714268638133	-386.857129267528	93.7143098643897
0	12.3333291350409	15647.499592674	483.166649730101	-383.500031969574	80.3333603744269
0	11.99999929593	15873.3740948607	485.874987434478	-387.499921917507	89.4998235344399
0	11.3333362365012	16089.4436483856	488.555547150279	-394.77776001108	101.111077472489
0	11.2222222395972	16224.8888898185	490.88888245673	-396.000024198832	100.3333811833
0	11.1111104157257	16134.2229543783	487.55558260544	-398.444450807167	117.333253626672
0	10.7777770650253	15928.8893090854	481.333357401845	-403.444385398985	148.110901578836
0	11.1111126669822	15623.7785136571	475.000020478683	-393.77778123764	141.777725000106
0	11.3333288655603	15366.4456272288	468.333351586814	-391.111162794895	153.555605518969
0	11.999998461495	15054.1117236209	461.111136987603	-380.555525055028	147.999851243131
0	11.444451945735	14808.4456070954	453.000030066092	-382.888874407972	173.222153154689
0	11.6666734117442	14511.2232439996	444.111138560878	-379.555555042726	185.555449598574
0	11.222218988763	14257.3346865072	434.555598399065	-384.666705303141	229.222238693461
0	12.4444352829338	13808.6688163617	424.777820873335	-362.222337132272	195.555723383254
0	13.4444392291522	13390.6685679243	415.333371570035	-341.000085826297	159.11123783395
0	13.4444406807746	13175.778045767	409.777780785329	-339.333271888754	178.110885871747
0	14.0000035290001	12956.1112127939	406.555551705059	-326.999960746464	157.888701669292
0	14.125	12889.6267029105	408.125016252117	-322.375141565142	155.250235146136
0	14.5555675941334	12849.3324196189	410.777763896479	-318.77765642714	156.77742738972
0	14.999994870403	12819.0006962288	414.999981515607	-313.000082866991	148.000207932756
0	14.8333333333333	12710.8341405925	414.499997262015	-309.166710357544	151.500119194723
0	14.8888927655747	12596.5564810241	411.888905047609	-309.666661720783	157.999965796155
0	14.0000045199112	12480.2226957271	405.777805975124	-317.999938268504	194.222005744502
0	13.3333382096142	12351.8896639929	401.000028579741	-324.444432110227	226.777693585266
0	13.4444321277379	12163.0007064003	396.888903874153	-319.777779576905	222.55550374986
0	13.2222197275877	12006.77828958	393.000016054407	-316.111137361214	219.555578302268
0	13.5555565203922	11861.3335683788	390.000011299805	-310.888862690852	213.333239084427
0	13.4444501899548	11781.7779897538	388.111109103293	-311.333322537673	223.111007065884
0	13.7777784210253	11718.6666135928	386.555561318486	-311.666644458148	229.777659529493
0	13.6666672924934	11697.1113944994	385.333340617367	-315.777752474826	245.555443652322
0	13.7777744139738	11643.3336046767	383.888914365544	-315.444428989749	249.222119002692
0	14.2222197189241	11582.4449767756	383.11110769513	-312.222243335194	247.999991341737
0	14.5555568246199	11532.8890079362	381.888891270533	-310.777761358146	250.999863932592
0	14.3333384443348	11587.777347978	381.666658948076	-322.999905499104	294.88853469275
0	13.4444498770177	11685.2218540583	381.999987639854	-340.444357636072	365.999639067358
0	12.6666678661933	11749.7778003432	382.111128816987	-353.111070597042	421.888640858502
0	13.3333243891416	11712.2227227156	381.111114222926	-351.000027449695	414.22236261681
0	14.2222128521272	11604.6676114825	379.111123775573	-338.444506323603	364.000195259424
0	15.1111105200402	11539.3335241007	377.777791189768	-329.111142350582	325.333399193173
0	15.4444447486722	11500.8895955415	377.000003902809	-322.111180708893	294.000246299494
0	16.2222168852664	11488.5560712871	377.111121011469	-313.666761532554	259.88911713547
0	16.7777729275857	11544.3325339198	379.111082696553	-313.111027145264	245.999862933911
0	17.2222274635618	11718.7769852989	388.111075473395	-323.888850460748	245.000035836692
0	17.5555555207871	11815.4440395404	391.555564769254	-322.000015211345	227.000111554867
0	17.4444441402167	11927.8881293737	394.666646892149	-318.333346189104	210.000057854958
